1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
701,"Ai sensi dell'art. 2 del Decreto del 6 febbraio
2017 n. 22 del Ministero dell'Economia e
delle Finanze:","La garanzia a cui sia subordinata la
sospensione dell'atto impugnato ovvero della
sentenza ai sensi degli articoli 47, comma 5,
52, comma 6, 62-bis, comma 5, del decreto
legislativo 31 dicembre 1992, n. 546, nonche'
la garanzia di cui all'articolo 19, comma 3, del
decreto legislativo 18 dicembre 1997, n. 472, e'
prestata fino al termine del nono mese
successivo a quello del deposito del
provvedimento che conclude la fase di giudizio
nella quale la sospensione e' disposta.","La garanzia a cui sia subordinata la sospensione
dell'esecuzione dell' atto impugnato ovvero della
sentenza ai sensi degli articoli 47, comma 2, 52,
comma 4, 62-bis, comma 5, del decreto
legislativo 31 dicembre 1992, n. 546, nonche' la
garanzia di cui all'articolo 19, comma 2, del
decreto legislativo 18 dicembre 1997, n. 472, e'
prestata fino al termine dell'ottavo mese
successivo a quello del deposito del
provvedimento che conclude la fase di giudizio
nella quale la sospensione e' disposta.","La garanzia a cui sia subordinata la sospensione
dell'esecuzione dell' atto impugnato ovvero
della sentenza ai sensi degli articoli 47, comma
3, 52, comma 1, 62-bis, comma 3, del decreto
legislativo 31 dicembre 1992, n. 546, nonche' la
garanzia di cui all'articolo 19, comma 3, del
decreto legislativo 18 dicembre 1997, n. 472, e'
prestata fino al termine del nono mese
successivo a quello del deposito del
provvedimento che conclude la fase di giudizio
nella quale la sospensione e' disposta.","La garanzia a cui sia subordinata la sospensione
dell'esecuzione dell' atto impugnato ovvero della
sentenza ai sensi degli articoli 47, comma 3, 52,
comma 6, 62-bis, comma 5, del decreto
legislativo 31 dicembre 1992, n. 546, nonche' la
garanzia di cui all'articolo 19, comma 3, del
decreto legislativo 18 dicembre 1997, n. 472, e'
prestata fino al termine del settimo mese
successivo a quello del deposito del
provvedimento che conclude la fase di giudizio
nella quale la sospensione e' disposta."
702,"Ai sensi dell'art. 51 del d.lgs. del 31
dicembre 1992 n. 546:","Se la legge non dispone diversamente il
termine per impugnare la sentenza della Corte
di giustizia tributaria di secondo grado è di
sessanta giorni.","Se la legge non dispone diversamente il termine
per impugnare la sentenza della Corte di
giustizia tributaria di secondo grado è di trenta
giorni.","Se la legge non dispone diversamente il termine
per impugnare la sentenza della Corte di
giustizia tributaria di secondo grado è di
quaranta giorni.","Se la legge non dispone diversamente il termine
per impugnare la sentenza della Corte di
giustizia tributaria di secondo grado è di
novanta giorni."
703,"Ai sensi dell'art. 52 del d.lgs. del 31
dicembre 1992 n. 546.","Il collegio, sentite le parti in camera di
consiglio e delibato il merito, provvede con
ordinanza motivata non impugnabile.","Il collegio, sentite le parti in udienza pubblica e
delibato il merito, provvede con ordinanza
motivata non impugnabile.","Il collegio, sentite le parti in camera di
consiglio e delibato il merito, provvede con
decreto non impugnabile.","Il collegio, sentite le parti in camera di consiglio
e delibato il merito, provvede con sentenza
impugnabile."
704,"Ai sensi dell'art. 51 del d.lgs. del 31
dicembre 1992 n. 546:","Se la legge non dispone diversamente il
termine per impugnare la sentenza della Corte
di giustizia tributaria di primo grado è di
sessanta giorni.","Se la legge non dispone diversamente il termine
per impugnare la sentenza della Corte di
giustizia tributaria di primo grado è di trenta
giorni.","Se la legge non dispone diversamente il termine
per impugnare la sentenza della Corte di
giustizia tributaria di primo grado è di novanta
giorni.","Se la legge non dispone diversamente il termine
per impugnare la sentenza della Corte di
giustizia tributaria di primo grado è di
centoventi giorni."
705,"L'incompetenza della Corte di giustizia
tributaria di primo e secondo grado:","È rilevabile, anche d'ufficio, soltanto nel grado
al quale il vizio si riferisce.","È rilevabile, soltanto d'ufficio, nel grado al
quale il vizio si riferisce.","È rilevabile, anche d'ufficio, purché entro il
grado successivo a quello cui il vizio si
riferisce.","È rilevabile, soltanto d'ufficio, purché entro il
grado successivo a quello cui il vizio si
riferisce."
706,"Tra gli elementi che la sentenza emanata dal
giudice tributario:","Vi sono l'indicazione della composizione del
collegio, delle parti e dei loro difensori se vi
sono, la concisa esposizione dello svolgimento
del processo ed il dispositivo.","Vi sono l'indicazione della composizione del
collegio, delle parti e dei loro difensori se vi
sono e la concisa esposizione dello svolgimento
del processo. Il dispositivo non è recato dalla
sentenza ma dalla deliberazione che vi fa
seguito.","Vi sono l'indicazione della composizione del
collegio e delle parti nonché la concisa
esposizione dello svolgimento del processo ed
il dispositivo. Deve essere data indicazione dei
difensori delle parti soltanto nel caso in cui
l'udienza si sia svolta in pubblico.","Vi sono l'indicazione della composizione del
collegio e delle parti nonché la concisa
esposizione dello svolgimento del processo ed il
dispositivo. Deve essere data indicazione dei
difensori delle parti soltanto nel caso in cui
l'udienza si sia svolta in camera di consiglio."
707,"La comunicazione alle parti costituite circa
la data della trattazione è effettuata:",Almeno trenta giorni liberi prima.,Almeno dieci giorni liberi prima.,Almeno venti giorni liberi prima.,Almeno quindici giorni liberi prima.
708,"Ai sensi dell'art. 46 del d.lgs. del 31
dicembre 1992 n. 546:","La cessazione della materia del contendere è
dichiarata con decreto del presidente o con
sentenza della Corte di giustizia tributaria.","La cessazione della materia del contendere è
dichiarata con ordinanza del presidente o con
sentenza della Corte di giustizia tributaria.","La cessazione della materia del contendere è
dichiarata con decreto del presidente o con
ordinanza della Corte di giustizia tributaria.","La cessazione della materia del contendere è
dichiarata con decreto del presidente o con
decreto della Corte di giustizia tributaria."
709,"Ai sensi dell'art. 69 del d.lgs. del 31
dicembre 1992 n. 546 :","In caso di mancata esecuzione della sentenza il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 70 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado ovvero, se il giudizio
è pendente nei gradi successivi, alla Corte di
giustizia tributaria di secondo grado.","In caso di mancata esecuzione della sentenza il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 73 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado ovvero, se il giudizio è
pendente nei gradi successivi, alla Corte di
giustizia tributaria di primo grado.","In caso di mancata esecuzione della sentenza il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 75 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado ovvero, se il giudizio è
pendente nei gradi successivi, alla Corte di
giustizia tributaria di secondo grado.","In caso di mancata esecuzione della sentenza il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 71 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado ovvero, se il giudizio è
pendente nei gradi successivi, alla Corte di
giustizia tributaria di primo grado."
710,"L'art. 68 del d.lgs. del 31 dicembre 1992 n.
546:","Individua le modalità di pagamento del tributo
in pendenza del processo.","Individua le sentenze revocabili e motivi di
revocazione.","Individua i profili di provvisoria esecutività
delle sentenze emesse dalle Corti di giustizia
tributaria di primo e secondo grado.","Individua i profili di esecutività delle sentenze
di condanna in favore del contribuente."
711,Selezionare l'affermazione corretta:,"La discussione dell'udienza da remoto è chiesta
nel ricorso, nel primo atto difensivo o in
apposita istanza notificata alle altre parti
costituite entro il termine di cui all'articolo 32,
comma 2, del d.lgs. del 31 dicembre 1992 n.
546 ed è depositata in segreteria unitamente
alla prova della notificazione.","La discussione dell'udienza da remoto non può
essere chiesta nel ricorso ma nel primo atto
difensivo, notificato alle altre parti costituite
entro il termine di cui all'articolo 32, comma 2,
del d.lgs. del 31 dicembre 1992 n. 546 e
depositato in segreteria unitamente alla prova
della notificazione.","La discussione dell'udienza da remoto non deve
essere chiesta nel ricorso ma con apposita
istanza, notificata alle altre parti costituite entro
il termine di cui all'articolo 32, comma 2, del
d.lgs. del 31 dicembre 1992 n. 546 e depositata
in segreteria unitamente alla prova della
notificazione.","La discussione dell'udienza da remoto è chiesta
nel ricorso, nel primo atto difensivo o in
apposita istanza notificata alle altre parti
costituite entro il termine di cui all'articolo 33,
comma 4, del d.lgs. del 31 dicembre 1992 n.
546 ed è depositata in segreteria unitamente alla
prova della notificazione."
712,"Ai sensi dell'art. 67-bis del d.lgs. del 31
dicembre 1992 n. 546:","Le sentenze emesse dalle Corti di giustizia
tributaria di primo e secondo grado sono
esecutive secondo quanto previsto dal Capo III
del d.lgs. del 31 dicembre 1992 n. 546.","Le sentenze emesse dalle Corti di giustizia
tributaria di primo e secondo grado sono
esecutive secondo quanto previsto dal Capo II
del d.lgs. del 31 dicembre 1992 n. 546.","Le sentenze emesse dalle Corti di giustizia
tributaria di primo e secondo grado sono
esecutive secondo quanto previsto dal Capo IV
del d.lgs. del 31 dicembre 1992 n. 546.","Le sentenze emesse dalle Corti di giustizia
tributaria di primo e secondo grado sono
esecutive secondo quanto previsto dal Capo V
del d.lgs. del 31 dicembre 1992 n. 546."
713,"Tenuto conto di quanto previsto dall'art. 10
del Decreto del Ministero dell'Economia e
delle Finanze del 23 dicembre 2013 n. 163,
selezionare l'affermazione corretta:","Successivamente alla costituzione in giudizio
del ricorrente, il S.I.Gi.T. rilascia il numero di
iscrizione del ricorso nel registro generale di
cui all'articolo 25 del decreto legislativo 31
dicembre 1992, n. 546.","Successivamente alla costituzione in giudizio
del resistente, il S.I.Gi.T. rilascia il numero di
iscrizione del ricorso nel registro generale di cui
all'articolo 25 del decreto legislativo 31
dicembre 1992, n. 546.","Successivamente alla costituzione in giudizio
del ricorrente, il S.I.Gi.T. o, alternativamente,
gli Uffici della segreteria della Corte di
giustizia tributaria, rilascia il numero di
iscrizione del ricorso nel registro generale di
cui all'articolo 25 del decreto legislativo 31
dicembre 1992, n. 546.","Successivamente alla costituzione in giudizio
del resistente, il S.I.Gi.T. o, alternativamente,
gli Uffici della segreteria della Corte di giustizia
tributaria, rilascia il numero di iscrizione del
ricorso nel registro generale di cui all'articolo 25
del decreto legislativo 31 dicembre 1992, n.
546."
714,"Tenuto conto di quanto previsto dall'art. 19
del d.lgs. del 18 dicembre 1997 n. 472,
selezionare l'affermazione corretta:","La sospensione dell'esecuzione delle sanzioni
deve essere concessa se viene prestata la
garanzia di cui all'articolo 69 del decreto
legislativo 31 dicembre 1992, n. 546.","La sospensione dell'esecuzione delle sanzioni
può essere concessa anche se non viene prestata
la garanzia di cui all'articolo 69 del decreto
legislativo 31 dicembre 1992, n. 546.","La sospensione dell'esecuzione delle sanzioni
prescinde dalla garanzia di cui all'articolo 69
del decreto legislativo 31 dicembre 1992, n.
546.","La sospensione dell'esecuzione delle sanzioni
deve essere concessa con decreto del Presidente
della Corte di giustizia tributaria o con
ordinanza del presidente della sezione della
Corte di giustizia tributaria se viene prestata la
garanzia di cui all'articolo 69 del decreto
legislativo 31 dicembre 1992, n. 546."
715,Selezionare l'affermazione corretta:,"Durante la sospensione e l'interruzione del
processo tributario non possono essere
compiuti atti del processo.","Durante la sospensione e l'interruzione possono
essere compiuti soltanto gli atti del processo
che hanno effetti di natura cautelare.","Durante la sospensione del processo non
possono essere compiuti atti del processo.
Durante l'interruzione del processo possono
essere compiuti soltanto gli atti del processo
che hanno effetti di natura cautelare.","Durante l'interruzione del processo non possono
essere compiuti atti del processo. Durante la
sospensione del processo possono essere
compiuti soltanto gli atti del processo che
hanno effetti di natura cautelare."
716,Selezionare l'affermazione corretta:,"Ciascuna parte può richiedere alla segreteria
copie autentiche della sentenza.","Ciascuna parte, previa approvazione del
Presidente della sezione della Corte di giustizia
tributaria di primo o secondo grado che ha
emanato la sentenza che lo riguarda, può
richiederne alla segreteria copie autentiche.","Ciascuna parte, previa approvazione del
Presidente della Corte di giustizia tributaria di
primo o secondo grado, può richiedere alla
segreteria copie autentiche della sentenza.","Ciascuna parte, previa approvazione del
Presidente della sezione della Corte di giustizia
tributaria di primo o secondo grado che ha
emanato la sentenza che lo riguarda, può
richiederne al Presidente della Corte di giustizia
tributaria di primo o secondo grado copie
autentiche."
717,Seleziona l'affermazione corretta:,"La procura speciale, se conferita al coniuge e
ai parenti o affini entro il quarto grado ai soli
fini della partecipazione all'udienza pubblica,
può risultare anche da scrittura privata non
autenticata.","La procura speciale, se conferita al coniuge e ai
parenti o affini entro il quarto grado ai soli fini
della partecipazione all'udienza pubblica, non
può risultare da scrittura privata non
autenticata.","La procura speciale, anche se conferita al
coniuge e ai parenti o affini entro il quarto
grado ai soli fini della partecipazione
all'udienza pubblica, deve in ogni caso risultare
da scrittura privata autenticata.","La procura speciale, se conferita al coniuge e ai
parenti o affini entro il quarto grado ai soli fini
della partecipazione all'udienza pubblica, deve
risultare in ogni caso da scrittura privata
autenticata."
718,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 interviene in materia di difetto
di giurisdizione delle Corti di giustizia
tributaria di secondo grado?",L'art. 3 del d.lgs. del 31 dicembre 1992 n. 546.,L'art. 9 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 14 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 18 del d.lgs. del 31 dicembre 1992 n. 546.
719,"Ai sensi dell'art. 46 del d.lgs. del 31
dicembre 1992 n. 546:","Il provvedimento presidenziale che dichiara la
cessazione della materia del contendere è
reclamabile a norma dell'art. 28 del d.lgs. del
31 dicembre 1992 n. 546.","Il provvedimento presidenziale che dichiara la
cessazione della materia del contendere è
reclamabile a norma dell'art. 38 del d.lgs. del 31
dicembre 1992 n. 546.","Il provvedimento presidenziale che dichiara la
cessazione della materia del contendere è
reclamabile a norma dell'art. 31 del d.lgs. del
31 dicembre 1992 n. 546.","Il provvedimento presidenziale che dichiara la
cessazione della materia del contendere è
reclamabile a norma dell'art. 17 del d.lgs. del 31
dicembre 1992 n. 546."
720,"Tenuto conto di quanto previsto dall'art. 48-ter del d.lgs. del 31 dicembre 1992 n. 546,
selezionare l'affermazione corretta:","Il versamento delle somme dovute ovvero, in
caso di rateizzazione, della prima rata deve
essere effettuato entro venti giorni dalla data di
sottoscrizione dell'accordo conciliativo di cui
all'articolo 48 del d.lgs. del 31 dicembre 1992
n. 546.","Il versamento delle somme dovute ovvero, in
caso di rateizzazione, della prima rata deve
essere effettuato entro quindici giorni dalla data
di sottoscrizione dell'accordo conciliativo di cui
all'articolo 46 del d.lgs. del 31 dicembre 1992 n.
546.","Il versamento delle somme dovute ovvero, in
caso di rateizzazione, della prima rata deve
essere effettuato entro dieci giorni dalla data di
sottoscrizione dell'accordo conciliativo di cui
all'articolo 49 del d.lgs. del 31 dicembre 1992
n. 546.","Il versamento delle somme dovute ovvero, in
caso di rateizzazione, della prima rata deve
essere effettuato entro trenta giorni dalla data di
sottoscrizione dell'accordo conciliativo di cui
all'articolo 56 del d.lgs. del 31 dicembre 1992 n.
546."
721,"Tenuto conto di quanto previsto dall'art. 10
del Decreto del Ministero dell'Economia e
delle Finanze del 23 dicembre 2013 n. 163,
selezionare l'affermazione corretta:","La costituzione in giudizio e il deposito degli
atti e documenti della parte resistente avviene
con le modalità indicate al comma 1 dell'art. 10
del Decreto del Ministero dell'Economia e
delle Finanze del 23 dicembre 2013 n. 163.","La costituzione in giudizio e il deposito degli
atti e documenti della parte resistente avviene
con le modalità indicate al comma 1 dell'art. 10
del d.lgs. del 31 dicembre 1992, n. 546.","La costituzione in giudizio e il deposito degli
atti e documenti della parte ricorrente avviene
con le modalità indicate al comma 3 dell'art. 10
del d.lgs. del 31 dicembre 1992, n. 546.","La costituzione in giudizio e il deposito degli
atti e documenti della parte resistente avviene
con le modalità indicate al comma 4 dell'art. 10
del d.lgs. del 31 dicembre 1992, n. 546."
722,"Se la proposta di conciliazione è formulata
in udienza:","È comunicata alle parti non comparse con la
fissazione di una nuova udienza.",È comunicata alle parti. Così prevede l'art. 47-bis.1 del d.lgs. del 31 dicembre 1992 n. 546.,"Non necessità d'essere comunicata alle parti. Il
collegio procede a dichiarare estinto il giudizio
con decreto.","Non necessità d'essere comunicata alle parti. Il
collegio procede a dichiarare estinto il giudizio
con ordinanza."
723,"Il presidente della sezione, scaduti i termini
per la costituzione in giudizio delle parti,
esamina preliminarmente il ricorso e, casi
espressamente previsti, se manifesta:",Ne dichiara l'inammissibilità.,Ne dichiara la nullità.,Ne dichiara l'annullabilità.,Ne dichiara l'irricevibilità.
724,"Ai sensi dell'art. 7 del d.lgs. del 31 dicembre
del 1992 n. 546:","Nei casi in cui la pretesa tributaria sia fondata
su verbali o altri atti facenti fede fino a querela
di falso, la prova testimoniale è ammessa
soltanto su circostanze di fatto diverse da
quelle attestate dal pubblico ufficiale.","Nei casi in cui la pretesa tributaria sia fondata
su verbali o altri atti non facenti fede fino a
querela di falso, la prova testimoniale è
ammessa soltanto su circostanze di fatto diverse
da quelle attestate dal pubblico ufficiale.","Nei casi in cui la pretesa tributaria sia fondata
su verbali o altri atti facenti fede fino a querela
di falso, la prova testimoniale non è ammessa
su circostanze di fatto diverse da quelle
attestate dal pubblico ufficiale.","Nei casi in cui la pretesa tributaria sia fondata
su verbali o altri atti facenti fede fino a querela
di falso, la prova testimoniale è ammessa
soltanto su circostanze di fatto identiche a
quelle attestate dal pubblico ufficiale."
725,"Tenuto conto di quanto previsto dall'art. 34
del d.lgs. del 31 dicembre 1992 n. 546, nel
caso in cui la Corte di giustizia tributaria
abbia disposto il differimento della
discussione a udienza fissa:","Si applica l'art. 31, comma 2, del d.lgs. del 31
dicembre 1992 n. 546, salvo che il
differimento sia disposto in udienza con tutte
le parti costituite presenti.","Si applica l'art. 32, comma 1, del d.lgs. del 31
dicembre 1992 n. 546, salvo che il differimento
sia disposto in udienza con tutte le parti
costituite presenti.","Si applica l'art. 31, comma 2, del d.lgs. del 31
dicembre 1992 n. 546, purché il differimento
sia disposto in udienza con tutte le parti
costituite presenti.","Si applica l'art. 32, comma 1, del d.lgs. del 31
dicembre 1992 n. 546, purché il differimento
sia disposto in udienza con tutte le parti
costituite presenti."
726,"Nel d.lgs. del 31 dicembre 1992 n. 546,
dove trova disciplina l'esecuzione delle
sentenze delle Corti di giustizia tributaria di
primo e secondo grado?","Nel capo IV, titolo II del d.lgs. del 31 dicembre
1992 n. 546.","Nel capo III, titolo II del d.lgs. del 31 dicembre
1992 n. 546.","Nel capo V, titolo I del d.lgs. del 31 dicembre
1992 n. 546.","Nel capo VI, titolo I del d.lgs. del 31 dicembre
1992 n. 546."
727,Selezionare l'affermazione corretta:,"L'estrazione di copie autentiche ai sensi
dell'art. 25-bis del d.lgs. del 31 dicembre 1992
n. 546, esonera dal pagamento dei diritti di
copia.","L'estrazione di copie autentiche ai sensi dell'art.
25-bis del d.lgs. del 31 dicembre 1992 n. 546,
non esonera dal pagamento dei diritti di copia.","L'estrazione di copie autentiche ai sensi dell'art.
25-bis del d.lgs. del 31 dicembre 1992 n. 546,
comporta una riduzione pari alla metà
dell'importo dovuto per il pagamento dei diritti
di copia.","L'estrazione di copie autentiche ai sensi dell'art.
25-bis del d.lgs. del 31 dicembre 1992 n. 546,
comporta una riduzione pari ad 1/3 dell'importo
dovuto per il pagamento dei diritti di copia."
728,La discussione dell'udienza da remoto:,"È depositata in segreteria unitamente alla prova
della notificazione.","È notificata alla segreteria del Presidente di
sezione della Corte di giustizia tributaria.","È notificata alla segreteria di Presidenza della
Corte di giustizia tributaria.","È notificata alla segreteria della Corte di
giustizia tributaria."
729,Seleziona l'affermazione corretta:,"Ognuno degli atti autonomamente impugnabili
di cui all'art. 19 del d.lgs. del 31 dicembre
1992 n. 546 può essere impugnato solo per
vizi propri.","Ognuno degli atti autonomamente impugnabili
di cui all'art. 16-bis del d.lgs. del 31 dicembre
1992 n. 546 può essere impugnato solo per vizi
propri.","Ognuno degli atti autonomamente impugnabili
di cui all'art. 28 del d.lgs. del 31 dicembre 1992
n. 546 può essere impugnato solo per vizi
propri.","Ognuno degli atti autonomamente impugnabili
di cui all'art. 31 del d.lgs. del 31 dicembre 1992
n. 546 può essere impugnato solo per vizi
propri."
730,Seleziona l'affermazione corretta:,"Il difetto di giurisdizione delle Corti di
giustizia tributaria di primo e di secondo grado
è rilevato, anche d'ufficio, in ogni stato e grado
del processo.","Il difetto di giurisdizione delle Corti di giustizia
tributaria di primo e di secondo grado è
rilevabile, soltanto su istanza di parte, in ogni
stato e grado del processo.","Il difetto di giurisdizione delle Corti di giustizia
tributaria di primo e di secondo grado è
rilevato, anche d'ufficio, entro e non oltre il
termine per la costituzione in giudizio di parte
resistente nel giudizio di primo grado.","Il difetto di giurisdizione delle Corti di giustizia
tributaria di primo e di secondo grado è
rilevato, anche d'ufficio, entro e non oltre dieci
giorni liberi prima la trattazione dell'udienza
relativa al giudizio di primo grado."
731,"Ai sensi dell'art. 7 del d.lgs. del 31 dicembre
del 1992 n. 546:","I compensi spettanti ai consulenti tecnici non
possono eccedere quelli previsti dalla legge 8
luglio 1980, n. 319, e successive modificazioni
e integrazioni.","I compensi spettanti ai consulenti tecnici non
possono eccedere quelli previsti dalla legge 8
luglio 1980, n. 391, e successive modificazioni
e integrazioni.","I compensi spettanti ai consulenti tecnici non
possono eccedere quelli previsti dalla legge 8
luglio 1980, n. 931, e successive modificazioni
e integrazioni.","I compensi spettanti ai consulenti tecnici non
possono eccedere quelli previsti dalla legge 8
luglio 1980, n. 139, e successive modificazioni
e integrazioni."
732,"Ai fini del calcolo del valore della lite si
tiene conto anche dell'imposta virtuale
calcolata a seguito delle rettifiche di perdita.
Così prevede:","L'art. 4-bis del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 12 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 16 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 13 del d.lgs. del 31 dicembre 1992 n. 546.
733,"I giudici e il personale amministrativo delle
corti di giustizia tributaria di primo grado
possono partecipare da remoto:","Alle udienze di cui agli articoli 33 e 34 del
d.lgs. del 31 dicembre 1992 n. 546.","Alle udienze di cui agli articoli 31 e 33 del
d.lgs. del 31 dicembre 1992 n. 546.","Alle udienze di cui agli articoli 32 e 37 del
d.lgs. del 31 dicembre 1992 n. 546.","Alle udienze di cui agli articoli 34 e 36 del
d.lgs. del 31 dicembre 1992 n. 546."
734,"Ai sensi dell'art. 27 del d.lgs. del 31
dicembre 1992 n. 546, la sospensione,
l'interruzione e l'estinzione del processo
sono dichiarate:","Dal presidente della sezione della Corte di
giustizia tributaria.",Dal presidente della Corte di giustizia tributaria.,Dal giudice estensore della sentenza.,Dal presidente del Collegio giudicante.
735,"Ai sensi dell'art. 68 del d.lgs. del 31
dicembre 1992 n. 546 :","In caso di mancata esecuzione del rimborso del
tributo corrisposto in eccedenza rispetto a
quanto statuito dalla sentenza della Corte di
giustizia tributaria di primo grado, con i
relativi interessi previsti dalle leggi fiscali, il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 70 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado.","In caso di mancata esecuzione del rimborso del
tributo corrisposto in eccedenza rispetto a
quanto statuito dalla sentenza della Corte di
giustizia tributaria di primo grado, con i relativi
interessi previsti dalle leggi fiscali, il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 71 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado.","In caso di mancata esecuzione del rimborso del
tributo corrisposto in eccedenza rispetto a
quanto statuito dalla sentenza della Corte di
giustizia tributaria di primo grado, ad accezione
degli interessi previsti dalle leggi fiscali, il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 73 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado.","In caso di mancata esecuzione del rimborso del
tributo corrisposto in eccedenza rispetto a
quanto statuito dalla sentenza della Corte di
giustizia tributaria di primo grado, ad eccezione
degli interessi previsti dalle leggi fiscali, il
contribuente può richiedere l'ottemperanza a
norma dell'articolo 75 del d.lgs. del 31
dicembre 1992 n. 546 alla Corte di giustizia
tributaria di primo grado."
736,"L'art. 18 del d.lgs. del 31 dicembre del 1992
n. 546:","Definisce il contenuto obbligatorio del ricorso
tributario.","Definisce i poteri delle Corti di giustizia
tributaria di primo grado.","Definisce i poteri delle Corti di giustizia
tributaria di secondo grado.","Definisce i limiti di giurisdizione delle Corti di
giustizia tributaria di primo grado."
737,"L'art. 34 del d.lgs. del 31 dicembre 1992 n.
546:","Si occupa dalla discussione in pubblica
udienza.","Si occupa dalla trattazione in camera di
consiglio.","Si occupa delle deliberazioni del collegio
giudicante.","Si occupa della pubblicazione e comunicazione
della sentenza."
738,"Quale delle seguenti affermazioni è
corretta?:","Il giudice tributario ha l'obbligo di astenersi e
può essere ricusato in ogni caso in cui abbia o
abbia avuto rapporti di lavoro autonomo
ovvero di collaborazione con una delle parti.","Il giudice tributario ha l'obbligo di astenersi, ma
non può essere ricusato, in ogni caso in cui
abbia o abbia avuto rapporti di lavoro autonomo
ovvero di collaborazione con una delle parti.","Il giudice tributario non ha l'obbligo di astenersi
perché può essere ricusato, in ogni caso in cui
abbia o abbia avuto rapporti di lavoro
autonomo ovvero di collaborazione con una
delle parti.","Il giudice tributario non ha l'obbligo di
astenersi, ma deve essere ricusato, in ogni caso
in cui abbia o abbia avuto rapporti di lavoro
autonomo ovvero di collaborazione con una
delle parti."
739,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 delinea le modalità di
pagamento del tributo in pendenza del
processo?","L'art. 68 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 79 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 81 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 83 del d.lgs. del 31 dicembre 1992 n. 546.
740,"Ai sensi dell'art. 29 del d.lgs. del 31
dicembre 1992 n. 546:","In qualunque momento il Presidente della
sezione dispone con decreto la riunione dei
ricorsi assegnati alla sezione da lui presieduta
che hanno lo stesso oggetto o sono fra loro
connessi.","In qualunque momento qualunque componente
della sezione può disporre con decreto la
riunione dei ricorsi assegnati alla sezione di cui
è componente che hanno lo stesso oggetto o
sono fra loro connessi.","In qualunque momento il Presidente della
sezione dispone con decreto la riunione dei
ricorsi assegnati alla sezione da lui presieduta
che hanno lo stesso oggetto. Se i ricorsi sono
fra loro soltanto connessi non possono essere
riuniti.","In qualunque momento qualunque componente
della sezione può disporre con ordinanza la
riunione dei ricorsi assegnati alla sezione di cui
è componente che hanno lo stesso oggetto o
sono fra loro connessi."
741,"Ai sensi dell'art. 16 del d.lgs. del 31
dicembre del 1992 n. 546:","Le comunicazioni sono fatte mediante avviso
della segreteria della Corte di giustizia
tributaria di primo e secondo grado consegnato
alle parti, che ne rilasciano immediatamente
ricevuta, o spedito a mezzo del servizio postale
con raccomandata con avviso di ricevimento.","Le comunicazioni sono fatte mediante avviso
della segreteria della Corte di giustizia tributaria
di primo e secondo grado consegnato alle parti,
che non occorre rilascino ricevuta, o spedito a
mezzo del servizio postale con raccomandata
con avviso di ricevimento.","Le comunicazioni sono fatte mediante avviso
della segreteria della Corte di giustizia
tributaria di primo e secondo grado consegnato
alle parti, che ne rilasciano immediatamente
ricevuta. Le comunicazioni non possono essere
spedite a mezzo del servizio postale con
raccomandata con avviso di ricevimento.","Le comunicazioni sono fatte mediante avviso
della segreteria della Corte di giustizia tributaria
di secondo grado consegnato alle parti, che ne
rilasciano immediatamente ricevuta, o spedito a
mezzo del servizio postale con raccomandata
con avviso di ricevimento. Le corti di giustizia
tributaria di primo grado non possono
procedere autonomamente ad effettuare
comunicazioni e si avvalgono delle segreterie
delle Corti di giustizia tributaria di secondo
grado."
